name,url
flag-ee,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1ea.png
flag-eg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1ec.png
flag-eh,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1ed.png
flag-er,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1f7.png
es,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1f8.png
flag-et,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1f9.png
flag-eu,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ea-1f1fa.png
flag-fi,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1eb-1f1ee.png
flag-fj,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1eb-1f1ef.png
flag-fk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1eb-1f1f0.png
flag-fm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1eb-1f1f2.png
flag-fo,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1eb-1f1f4.png
fr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1eb-1f1f7.png
flag-ga,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1e6.png
gb,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1e7.png
flag-gd,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1e9.png
flag-ge,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1ea.png
flag-gf,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1eb.png
flag-gg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1ec.png
flag-gh,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1ed.png
flag-gi,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1ee.png
flag-gl,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f1.png
flag-gm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f2.png
flag-gn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f3.png
flag-gp,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f5.png
flag-gq,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f6.png
flag-gr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f7.png
flag-gs,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f8.png
flag-gt,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1f9.png
flag-gu,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1fa.png
flag-gw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1fc.png
flag-gy,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ec-1f1fe.png
flag-hk,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ed-1f1f0.png
flag-hm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ed-1f1f2.png
flag-hn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ed-1f1f3.png
flag-hr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ed-1f1f7.png
flag-ht,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ed-1f1f9.png
flag-hu,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ed-1f1fa.png
flag-ic,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1e8.png
flag-id,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1e9.png
flag-ie,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1ea.png
flag-il,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f1.png
flag-im,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f2.png
flag-in,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f3.png
flag-io,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f4.png
flag-iq,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f6.png
flag-ir,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f7.png
flag-is,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f8.png
it,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ee-1f1f9.png
flag-je,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ef-1f1ea.png
flag-jm,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ef-1f1f2.png
flag-jo,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ef-1f1f4.png
jp,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1ef-1f1f5.png
flag-ke,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1ea.png
flag-kg,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1ec.png
flag-kh,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1ed.png
flag-ki,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1ee.png
flag-km,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1f2.png
flag-kn,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1f3.png
flag-kp,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1f5.png
kr,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1f7.png
flag-kw,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1fc.png
flag-ky,https://raw.githubusercontent.com/iamcal/emoji-data/master/img-apple-160/1f1f0-1f1fe.png
